PROVIDERCODE,PROVIDERNAME,ADDRESS,PROVINCE,REGION,ACCREDITATION,GEOMETRY,FRAME
880000000000444,CAVITE MEDICAL CENTER,"DALAHICAN, CAVITE CITY, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.881889,14.463436,0.000000</coordinates></Point>",
880000000000227,BAUTISTA HOSPITAL,"375 P. BURGOS AVENUE CARIDAD, CAVITE CITY, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.892181,14.477458,0.000000</coordinates></Point>",
880000000000623,DE JESUS GENERAL HOSPITAL,"5 B. AQUINO AVENUE, BALIUAG, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.899666,14.957190,0.000000</coordinates></Point>",
880000000001435,MARCELO HOSPITAL,"237 M. PONCE, BALIUAG, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.901604,14.956060,0.000000</coordinates></Point>",
880000000013631,CASTRO MATERNITY & GENERAL HOSPITAL,"CASTRO HOSPITAL F. RUSTIA ST., BALIUAG, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.903511,14.957897,0.000000</coordinates></Point>",
880000000000975,"GRACE MEMORIAL HOSPITAL FOUNDATION, INC.","003 BUROL II, BALAGTAS (BIGAA), BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.904625,14.828505,0.000000</coordinates></Point>",
880000000013315,DR. MELODY D. UY-CELESTINO DENTAL CLINIC,"B10 L20 SAPHIRE ST. SUNSHINE VILLAGE MANGGAHAN, GENERAL TRIAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.909393,14.297946,0.000000</coordinates></Point>",
880000000003016,RUGAY MATERNITY AND GENERAL HOSPITAL,"M. CRUZ ST., CARPA VILLAGE, SABANG, BALIUAG, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.913849,14.968568,0.000000</coordinates></Point>",
880000000006058,SOUTH SUPERHIGHWAY MEDICAL CENTER,"K.M 16 WEST SERVICE ROAD, SOUTH SUPERHIGHWAY, PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.920670,14.265322,0.000000</coordinates></Point>",
880000000013183,"MAMOLO, NENA RUTH DENTAL CLINIC","61 CM PLAZA BLDG. DON PLACIDO CAMPOS AVE., DASMARIÑAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.933357,14.328509,0.000000</coordinates></Point>",
880000000013182,DRA. RACHELE A. PEREZ DENTAL CLINIC,"BAUCAN BLDG. 3 MALIHAN ST. ZONE 1, DASMARIÑAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.935249,14.329050,0.000000</coordinates></Point>",
880000000002024,SAGRADA FAMILIA HOSPITAL,"205 TANGOS, BALIUAG, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.935768,14.421729,0.000000</coordinates></Point>",
880000000002937,C. CASTILLO LIBRON DENTAL CLINIC - DON P. CAMPOS AVE.,"2ND FLOOR, RCVJ BLDG., DON P. CAMPOS AVE. DASMARIÑAS CAVITE, DASMARIÑAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.937714,14.323291,0.000000</coordinates></Point>",
880000000009242,ASIA MEDIC DIAGNOSTIC & SPECIALTY CENTER INC.,"E. AGUINALDO HIGHWAY, ANABU II, IMUS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.937897,14.373282,0.000000</coordinates></Point>",
880000000013933,C. CASTILLO LIBRON DENTAL CLINIC - CAMERINO AVE.,"G/F UNIT B GEMCRAFT BLDG. CAMERINO AVE. DASMARIÑAS CAVITE 4114 DASMARIÑAS CITY, DASMARIÑAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.938164,14.328717,0.000000</coordinates></Point>",
880000000013316,IMUS DENTAL CARE CENTER,"UNIT-C MYRO BLDG. AGUINALDO HIWAY, TANZANG LUMA,, IMUS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.942436,14.422960,0.000000</coordinates></Point>",
880000000006027,DE LA SALLE UNIVERSITY MEDICAL CENTER,"PASONG LAWIN, DASMARIÑAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.943459,14.327085,0.000000</coordinates></Point>",
880000000009300,MEDICAL CENTER IMUS,"DIVERSION ROAD, PALICO IV, IMUS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.946434,14.426233,0.000000</coordinates></Point>",
880000000013307,WONDER CARE DENTAL CLINIC,"UNIT 2 LAS RAMBLAS BUILDING 105 GEN. EVANGELISTA ST. TALABA I, BACOOR CAVITE, BACOOR, CAVITE, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.948662,14.459781,0.000000</coordinates></Point>",
880000000013188,C. MANGINSAY MEDICO DENTAL CLINIC,"3RD LEVEL ROBINSON DASMARIÑAS  PALA-PALA, CAVITE, , CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.954010,14.299973,0.000000</coordinates></Point>",
880000000012124,ASIA MEDIC FAMILY HOSPITAL AND MEDICAL CENTER,"OLD PALAPALA ROAD, SAMPALOC 1, DASMARIÑAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.956573,14.298980,0.000000</coordinates></Point>",
880000000013371,DADOR-ONG DENTAL CLINIC,"SUITE 212 MARAUDI BLDG. NIOG HIGHWAY COR. AGUINALDO,, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.957886,14.454441,0.000000</coordinates></Point>",
880000000013436,DENTALIFE DENTAL CLINIC,"48 EVANGELISTA ST. TALABA 5, BACOOR CAVITE, BACOOR, CAVITE, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.959412,14.462067,0.000000</coordinates></Point>",
880000000002223,"ST. DOMINIC MEDICAL CENTER, INC.","G. AGUINALDO HIGHWAY, TALABA, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.960228,14.458896,0.000000</coordinates></Point>",
880000000013184,A. BADLIS ESGUERRA DENTAL CLINIC,"G/F CATIMBUHAN BLDG.. WET & DRY MARKET BRGY. STA LUCIA DBB1 DASMARIÑAS CAVITE, DASMARIÑAS, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.960503,14.328280,0.000000</coordinates></Point>",
880000000014801,MARITES RIVERA- DE CASTRO DENTAL CLINIC- TAGAYTAY,"TAGAYTAY HOSPITAL AND MEDICAL CENTER, E. AGUINALDO HIGHWAY, SILANG, CROSSING EAST, TAGAYTAY CITY, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.962029,14.115353,0.000000</coordinates></Point>",
880000000006038,MARY JOHNSTON HOSPITAL,"1221 JUAN NOLASCO STREET TONDO, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.966148,14.609005,0.000000</coordinates></Point>",
880000000001872,PREMIERE MEDICAL CENTER,"MAHARLIKA HIGHWAY DAAN SARILE, CABANATUAN CITY, NUEVA ECIJA, PHILIPPINES",NUEVA ECIJA,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.967049,15.508738,0.000000</coordinates></Point>",
880000000013793,ALPAS DENTAL CARE CENTER,"B2 L9 ADDAS GREENFIELDS COMM'L MOLINO BLVD., MAMBOG 4,, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.967735,14.412673,0.000000</coordinates></Point>",
880000000013794,HOLY CHILD DENTAL CLINIC,"25 AVENIDA ST., PH- 2A, BAYAHANG PAG-ASA MOLINO 5,, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.968002,14.395953,0.000000</coordinates></Point>",
880000000013633,L.M. LIM DENTAL CLINIC,"229 PENARUBIA ST. BINONDO MANILA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.968033,14.599988,0.000000</coordinates></Point>",
880000000010737,"CHRIST THE KING GENERAL HOSPITAL, INC","130 REAL ST., PAMPLONA I, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.970009,14.458872,0.000000</coordinates></Point>",
880000000014551,METRO SPECIALISTS DIAGNOSTIC AND SURGICENTER,"2/F MGC VERANDA 31 GOVERNOR PASCUAL AVENUE, TINAJEROS, MALABON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.970322,14.669871,0.000000</coordinates></Point>",
880000000002942,STA. CLARA DE MONTEFALCO MEDICAL CENTER,"KM. 20 NORTH DIVERSION SERVICE RD., MALHACAN, MEYCAUAYAN, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.971642,14.748852,0.000000</coordinates></Point>",
880000000013286,DRA ME YING HO DENTAL CLINIC,"UNIT 647, 168 SHOPPING MALL, 6TH FLOOR, PHASE 5, SOLER ST., BINONDO, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.971893,14.604723,0.000000</coordinates></Point>",
880000000013855,CASTILLO ORTHO - DENTAL CLINIC,"UNIT Q 2/F AZUCENA ARCADE BLDG. 255 REAL ST. (ZAPOTE-ALABANG RD.) COR. GREENVIEW VILLAGE, PAMPLONA, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.974403,14.454296,0.000000</coordinates></Point>",
880000000014403,"BDM IMAGING CENTER, INC.-CALOOCAN","UNIT 16 #242 C3 RD. COR., A.MABINI ST., SAMPALUKAN, KALOOKAN CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.974602,14.644913,0.000000</coordinates></Point>",
880000000013372,DR. ELLEN SANTA CRUZ-LEE DENTAL CLINIC,"53 B AVENIDA RIZAL P2A, BPS, MOLINO 5, BACOOR CAVITE, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.975418,14.398229,0.000000</coordinates></Point>",
880000000001456,MARTINEZ MEMORIAL HOSPITAL,"198 A. MABINI ST., MAYPAJO, KALOOKAN CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.975853,14.638441,0.000000</coordinates></Point>",
880000000002771,MOLINO DOCTORS HOSPITAL,"NATIONAL RD. MOLINO II, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.976120,14.410514,0.000000</coordinates></Point>",
880000000002389,WESLEYAN UNIVERSITY MEDICAL CENTER,"TANDANG SORA ST. MABINI EXT, CABANATUAN CITY, NUEVA ECIJA, PHILIPPINES",NUEVA ECIJA,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.976250,15.482292,0.000000</coordinates></Point>",
880000000013508,ALDUEZA DENTAL AND OPTICAL CLINIC - MOLINO II,"#70 UNIT 5 DAHLZZETTE PLAT 2 KAUNLARAN SUBD. I MOLINO II, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.977531,14.408963,0.000000</coordinates></Point>",
880000000000082,AMISOLA MATERNITY HOSPITAL,"1068 HERMOSA ST., MANUGUIT, TONDO, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.978050,14.632851,0.000000</coordinates></Point>",
880000000014348,CALDOZA DENTAL CLINIC,"901-B VICTORIA BUILDING 429 UNITED NATIONS AVENUE ERMITA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.978233,14.579212,0.000000</coordinates></Point>",
880000000006044,METROPOLITAN MEDICAL CENTER,"1357 GUILLERMO MASANGKAY ST. STA CRUZ., MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.978348,14.609452,0.000000</coordinates></Point>",
880000000014343,SMILE R' US DENTAL CENTRE,"2ND FLR., STARMALL LAS PIÑAS, C.V STARR AVE., PHILAM VILL., PAMPLONA DOS, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.978462,14.450047,0.000000</coordinates></Point>",
880000000013288,MA. THESZ PERFECT SMILE DENTAL CLINIC,"1052 DOMINADOR GOMEZ ST. B.O. TONDO MANILA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.979462,14.637824,0.000000</coordinates></Point>",
880000000006085,METRO SOUTH MEDICAL CENTER,"NATIONAL RD. MOLINO IV, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.979752,14.373682,0.000000</coordinates></Point>",
880000000014924,MASANGCAY DENTAL CLINIC,"489 MOLINO ROAD MOLINO 4, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.980095,14.372975,0.000000</coordinates></Point>",
880000000013295,KALAW DENTAL CLINIC,"4TH FLOOR TRINITY BLDG. 636 TM KALAW ST. SUITE 205 SAN LUIS BLDG. ERMITA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.980148,14.580936,0.000000</coordinates></Point>",
880000000014559,SOFITEL DENTAL CLINIC,"RM 160 FIRST FLOOR, SOFITEL PHILIPPINE PLAZA HOTEL, CCP COMPLEX, ROXAS BLVD., PASAY CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.980331,14.553169,0.000000</coordinates></Point>",
880000000002215,ST. CECILIA POLYCLINIC,"3/F METROBANK BLDG., 1149 A. MABINI ST., ERMITA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.980461,14.579111,0.000000</coordinates></Point>",
880000000000868,FATIMA UNIVERSITY MEDICAL CENTER CORP.,"120 MCARTHUR HIGHWAY, VALENZUELA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.980507,14.678081,0.000000</coordinates></Point>",
880000000014351,DR. RICHARD F. LIAO DENTAL CLINIC,"RM. 507 M.F. TIAOQUI BLDG. PLAZA STA. CRUZ, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.980530,14.598680,0.000000</coordinates></Point>",
880000000000810,EMMANUEL HOSPITAL,"NORBERTO COR. BUECAMINO ST., SAN JOSE, SAN MIGUEL, BULACAN, PHILIPPINES",BULACAN,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.980789,15.145354,0.000000</coordinates></Point>",
880000000012660,I-HEALTH MULTISPECIALIST CLINIC,"SM CENTER LAS PIÑAS, ALABANG ZAPOTE ROAD, PAMPLONA 2, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.980858,14.449117,0.000000</coordinates></Point>",
880000000001709,OUR LADY OF GRACE HOSPITAL,"8TH AVENUE, CORNER F. ROXAS STREET, KALOOKAN CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.981316,14.648938,0.000000</coordinates></Point>",
880000000013373,GALVEZ DENTAL CLINIC,"UNIT-3 SHOPHOUSE MOLINO RD. MOLINO-4, BACOOR, CAVITE, BACOOR, CAVITE, BACOOR, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.981361,14.368423,0.000000</coordinates></Point>",
880000000012999,RMAF CLINIC & DIAGNOSTIC SERVICES,"1680 ROXAS BLVD. CORNER DR. J QUINTOS SR. STREET, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.982224,14.571871,0.000000</coordinates></Point>",
880000000009095,JED DIAGNOSTIC CENTER,"3RD FLOOR GODINA TOWER, 350 AROCEROS, ERMITA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.982361,14.589123,0.000000</coordinates></Point>",
880000000000354,CALALANG GENERAL HOSPITAL,"16 R. VALENCIA ST., VALENZUELA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.982491,14.672565,0.000000</coordinates></Point>",
880000000006036,MANILA DOCTORS HOSPITAL,"667 UNITED NATIONS AVENUE, MALATE, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.982895,14.581849,0.000000</coordinates></Point>",
880000000009167,HEALTH POINT MEDICAL CLINICS & DIAGNOSTIC CENTER,"577 PADRE FAURA ST. ERMITA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.983063,14.578397,0.000000</coordinates></Point>",
880000000014532,LABEXPRESS MEDICAL DIAGNOSTICS,"308 F. OCAMPO ST., LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.983170,14.448919,0.000000</coordinates></Point>",
880000000013289,CLINICA DE MANILA DENTAL CENTER,"1111 NATIVIDAD A. LOPEZ ST. ERMITA MANILA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.983459,14.590706,0.000000</coordinates></Point>",
880000000009759,ST. GEORGE CLINICAL LABORATORY SERVICES,"2/F AURELIO BLDG., RIZAL AVE. EXTENSION, KALOOKAN CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.983505,14.653007,0.000000</coordinates></Point>",
880000000002103,SANCTISSIMO ROSARIO GENERAL HOSPITAL,"#2 ESPIRITU STREET MARULAS, VALENZUELA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.984283,14.675100,0.000000</coordinates></Point>",
880000000009754,MANILA VISION CORRECTION CENTER,"LEVEL 3, SPACE 063, ROBINSONS PLACE M. ADRIATICO ST., ERMITA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.984398,14.575313,0.000000</coordinates></Point>",
880000000014060,DIVINE DENTAL CLINIC,"UNIT 13 SOMKID BLDG. ARIA COR. CATERPILLAR ST. STA. CECILIA RD., LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.984436,14.445268,0.000000</coordinates></Point>",
880000000014149,LAND AND SEAIRE DENTAL CLINIC,"5TH FLOOR SAVEMORE (FORMERLY MASAGANA SUPERSTORE) UN AVENUE COR. TM KALAW TAFT AVE. BRGY. 666 ZONE 72 ERMITA MANILA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.984871,14.582836,0.000000</coordinates></Point>",
880000000006040,MEDICAL CENTER MANILA,"1125 GEN. LUNA STREET ERMITA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.985535,14.582405,0.000000</coordinates></Point>",
880000000014057,UNIVERSITY PHYSICIANS MEDICAL CENTER,"FACULTY MEDICAL ARTS BUILDING (OLD DISCREPANCY BLDG.) PGH COMPOUND, TAFT AVE, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.986023,14.577385,0.000000</coordinates></Point>",
880000000012524,TMC-FRC SPORTS PERFORMANCE AND PHYSICAL MEDICINE CENTER,"G/F TECHNOLOGY BLDG., FAR EASTERN UNIVERSITY, NICANOR REYES ST., SAMPALOC, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.986702,14.603669,0.000000</coordinates></Point>",
880000000006024,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,"286 BLUMENTRITT STREET STA. CRUZ, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.987839,14.626057,0.000000</coordinates></Point>",
880000000001530,MEDISERV INC.,"7TH FLOOR PERPETUAL HELP HOSPITAL, LAONG LAAN SAMPALOC, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.988205,14.614238,0.000000</coordinates></Point>",
880000000014410,JOHANNS P. LEE VILLANUEVA DENTAL CLINIC,"CHINESE GENERAL HOSPITAL BLUMENTRITT STA. CRUZ, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.988571,14.625611,0.000000</coordinates></Point>",
880000000012521,ALIF MEDICAL AND DIAGNOSTIC CLINIC CORPORATION,"3RD AND 4TH FLOORS, AGONCILLO BLSG., 1580 PEDRO GIL CORNER TAFT AVENUE, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.988663,14.576087,0.000000</coordinates></Point>",
880000000002271,ST. JUDE HOSPITAL AND MEDICAL CENTER,"DON QUIJOTE ST., COR DIMASALANG ST., SAMPALOC, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.988930,14.615748,0.000000</coordinates></Point>",
880000000013455,SEAMED MEDICAL CLINIC,"G. TOLENTINO ST., SAMPALOC, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.989372,14.605854,0.000000</coordinates></Point>",
880000000013986,GROOVY SMILE DENTAL CLINIC,"954 QUIRINO AVE., BRGY. DON GALO PARAÑAQUE CITY, PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.989525,14.496903,0.000000</coordinates></Point>",
880000000013762,ANA LYNN C. SANTOS D.M.D. DENTAL CLINIC,"7261 A. BONIFACIO ST. SAN DIONISIO, PARAÑAQUE, PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.990211,14.495569,0.000000</coordinates></Point>",
880000000002980,BASA DENTAL CLINIC - LAS PINAS,"254 S MARQUEZ ST. PHASE 4 GATCHALIAN SUBD. LAS PINAS CITY, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.990379,14.472674,0.000000</coordinates></Point>",
880000000014556,VILLAREAL ROCO DENTAL CLINIC,"CENTURY PARK HOTEL, VITO CRUZ, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.990822,14.561227,0.000000</coordinates></Point>",
880000000009298,HEART OF JESUS HOSPITAL,"SOBREPENA DRIVE, SAN JOSE CITY, NUEVA ECIJA, PHILIPPINES",NUEVA ECIJA,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.991035,15.795387,0.000000</coordinates></Point>",
880000000013426,ATIENZA DENTAL CLINIC,"20 MSIBAY ST. BF RESORT VILLAGE LAS PIÑAS, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.991692,14.439844,0.000000</coordinates></Point>",
880000000013204,EDGARDO PASCUA DENTAL CLINIC,"2035 FB HARRISON COR. BUENDIA PASAY CITY, PASAY CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.991837,14.553218,0.000000</coordinates></Point>",
880000000001176,JOHN PAUL HOSPITAL,"26 MARIANO PONCE ST. TIRAD PASS, KALOOKAN CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.991936,14.659713,0.000000</coordinates></Point>",
